iter	Passed	Remaining
0	69	69522
1	71	35646
2	73	24474
3	75	18778
4	76	15291
5	78	13081
6	81	11533
7	82	10260
8	84	9284
9	86	8550
10	87	7888
11	89	7329
12	90	6861
13	92	6518
14	94	6207
15	95	5871
16	97	5614
17	98	5375
18	99	5151
19	100	4930
20	101	4741
21	103	4606
22	105	4494
23	107	4365
24	108	4246
25	110	4149
26	112	4057
27	113	3954
28	114	3845
29	116	3762
30	117	3681
31	118	3588
32	119	3505
33	120	3420
34	121	3337
35	122	3277
36	123	3223
37	124	3157
38	125	3099
39	126	3047
40	128	3005
41	129	2958
42	130	2908
43	131	2862
44	132	2815
45	133	2771
46	134	2726
47	135	2681
48	136	2639
49	136	2597
50	137	2557
51	137	2515
52	138	2474
53	139	2437
54	139	2401
55	140	2367
56	141	2334
57	141	2301
58	142	2271
59	143	2240
60	143	2210
61	144	2181
62	144	2152
63	145	2124
64	145	2098
65	146	2071
66	146	2046
67	147	2018
68	147	1994
69	148	1971
70	149	1950
71	149	1928
72	150	1907
73	150	1886
74	151	1865
75	151	1846
76	152	1826
77	152	1808
78	153	1789
79	154	1771
80	154	1755
81	155	1738
82	155	1722
83	156	1706
84	156	1688
85	157	1672
86	157	1655
87	158	1641
88	158	1625
89	159	1611
90	159	1597
91	160	1583
92	161	1570
93	161	1558
94	162	1545
95	162	1534
96	163	1523
97	164	1511
98	164	1499
99	165	1487
100	165	1476
101	166	1462
102	166	1452
103	167	1441
104	167	1430
105	168	1421
106	169	1412
107	169	1402
108	170	1393
109	171	1385
110	171	1376
111	172	1366
112	173	1358
113	173	1349
114	174	1340
115	174	1331
116	175	1321
117	175	1313
118	176	1304
119	176	1296
120	177	1288
121	177	1280
122	178	1269
123	178	1262
124	179	1253
125	179	1246
126	180	1238
127	180	1230
128	181	1222
129	181	1215
130	182	1208
131	182	1201
132	183	1195
133	183	1188
134	184	1181
135	185	1175
136	185	1169
137	186	1163
138	186	1156
139	187	1150
140	187	1144
141	188	1138
142	188	1132
143	189	1126
144	190	1120
145	190	1114
146	191	1108
147	191	1103
148	192	1097
149	192	1091
150	193	1086
151	197	1103
152	198	1098
153	199	1093
154	199	1088
155	200	1082
156	200	1077
157	201	1072
158	201	1067
159	202	1062
160	202	1057
161	203	1052
162	204	1048
163	204	1043
164	205	1039
165	205	1034
166	206	1030
167	207	1025
168	207	1021
169	208	1017
170	208	1012
171	209	1008
172	210	1004
173	210	1000
174	211	996
175	211	991
176	212	988
177	213	984
178	213	980
179	214	976
180	214	970
181	215	967
182	215	963
183	216	959
184	216	955
185	217	951
186	217	947
187	218	943
188	219	940
189	219	937
190	220	933
191	220	929
192	221	926
193	222	922
194	222	918
195	222	914
196	223	911
197	224	907
198	224	904
199	225	900
200	225	897
201	226	893
202	226	890
203	227	887
204	228	884
205	228	880
206	229	877
207	229	874
208	230	871
209	230	868
210	231	865
211	232	862
212	232	859
213	233	856
214	233	853
215	234	850
216	234	847
217	235	844
218	236	841
219	236	839
220	237	836
221	237	833
222	238	830
223	239	828
224	239	825
225	240	822
226	240	819
227	241	816
228	241	813
229	242	811
230	242	808
231	243	806
232	244	803
233	244	800
234	245	798
235	245	795
236	246	793
237	246	790
238	247	787
239	247	785
240	248	782
241	249	780
242	249	777
243	250	774
244	250	772
245	251	770
246	251	767
247	252	765
248	253	763
249	253	760
250	254	758
251	254	755
252	255	753
253	255	751
254	256	748
255	256	746
256	257	744
257	257	741
258	258	739
259	258	737
260	259	734
261	260	732
262	260	730
263	261	728
264	261	726
265	262	724
266	262	721
267	263	719
268	264	717
269	264	715
270	265	712
271	265	710
272	266	708
273	266	706
274	267	704
275	267	702
276	268	700
277	268	698
278	270	698
279	271	697
280	271	695
281	272	694
282	273	692
283	274	690
284	274	689
285	275	687
286	275	685
287	276	683
288	277	681
289	277	679
290	278	677
291	278	675
292	279	674
293	279	672
294	280	670
295	281	668
296	281	667
297	282	665
298	283	663
299	283	662
300	284	661
301	285	659
302	285	657
303	286	656
304	287	654
305	287	652
306	288	650
307	288	648
308	289	647
309	289	645
310	290	643
311	291	641
312	291	640
313	292	638
314	292	636
315	293	634
316	293	632
317	294	631
318	294	629
319	295	627
320	296	626
321	296	624
322	297	623
323	297	621
324	298	620
325	299	618
326	299	617
327	300	615
328	301	614
329	301	612
330	302	611
331	302	609
332	303	607
333	303	606
334	304	604
335	305	602
336	305	601
337	306	599
338	306	598
339	307	596
340	307	594
341	308	593
342	308	591
343	309	590
344	310	588
345	310	587
346	311	585
347	311	584
348	312	582
349	313	581
350	313	579
351	314	578
352	314	576
353	315	575
354	315	573
355	316	572
356	316	570
357	317	569
358	318	567
359	318	566
360	319	564
361	319	563
362	320	562
363	320	560
364	321	559
365	322	557
366	322	556
367	323	554
368	323	553
369	324	552
370	325	551
371	326	550
372	326	549
373	327	548
374	327	546
375	328	545
376	328	543
377	329	542
378	329	540
379	330	539
380	331	537
381	331	536
382	332	535
383	332	533
384	333	532
385	333	530
